Serial_Number;Shift;PCB_Mainboard_Supplier;PCB_Batch_ID;LCD_Panel_Supplier;LCD_Batch_ID;Cable_Harness_Supplier;Cable_Batch_ID;Battery_Pack_Supplier;Housing_Case_Supplier;Thermal_Paste_Type;Ambient_Temp_C;Relative_Humidity;Air_Pressure_hPa;Particulate_PM2.5;Particulate_PM10;Screw_Torque_Nm;Screw_Count_OK;Glue_Dispense_Weight_mg;Housing_Gap_Check_mm;Soldering_Station_ID;Soldering_Temp_Set_C;Soldering_Temp_Real_C;Soldering_Time_s;Soldering_Tip_Age_Cycles;Flux_Usage_mg;Smoke_Extractor_Flow_m3h;Boot_Time_s;Standby_Current_mA;Max_Load_Current_A;Battery_Charge_Rate_A;Screen_Brightness_Nits;Dead_Pixel_Count;Touch_Response_ms;WiFi_Signal_dBm;Audio_Output_dB;Probe_Connector_Impedance_Ohm;Internal_QC_Status;Warranty_Claim;Claim_Type;Repair_Cost_USD;Firmware_Version
SN-2024-0652;Afternoon;AMD;PCB-A-2023-A;Sharp;LCD-S-113;WireTech;CBL-2024-589;Panasonic;MoldMaster;CoolM-2;23.7;62.0;1006;5.5;25.8;0.93;12;175.7;0.155;Sold_02;250;251.9;3.17;3608;10.7;47.8;14.34;51.8;2.35;1.0;418;0;6.97;-57.7;71.0;49.95;Pass;No;;0.0;v2.1
SN-2024-0068;Afternoon;Intel;PCB-I-2024-A;Sharp;LCD-S-195;Cables-X;CBL-2024-546;LG Chem;Plast-Pro;Arctic-5;23.2;59.8;990;13.6;34.9;0.98;12;152.8;0.097;Sold_01;250;251.6;2.62;698;14.2;49.1;13.47;49.4;2.24;1.03;422;1;7.94;-54.6;73.0;49.66;Pass;No;;0.0;v2.1
SN-2025-0442;Afternoon;AMD;PCB-A-2024-Y;Samsung;LCD-S-747;Cables-X;CBL-2024-043;Panasonic;Plast-Pro;CoolM-2;22.2;48.5;1008;22.5;20.1;1.13;12;183.6;0.076;Sold_01;250;248.6;6.15;351;13.2;51.0;14.4;55.7;2.12;1.04;392;0;7.36;-43.6;71.0;49.89;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2025-0039;Morning;Nvidia;PCB-N-2025-A;Samsung;LCD-S-432;WireTech;CBL-2025-515;LG Chem;MoldMaster;Arctic-5;21.7;62.8;997;17.4;22.6;0.93;12;194.6;0.148;Sold_01;250;248.9;3.15;2354;11.6;53.3;12.65;44.5;2.39;1.02;383;0;7.6;-46.1;74.1;50.21;Pass;No;;0.0;v2.1
SN-2025-0569;Morning;Nvidia;PCB-N-2024-A;Samsung;LCD-S-193;Cables-X;CBL-2025-004;Panasonic;MoldMaster;CoolM-2;21.6;39.9;993;17.6;28.3;1.06;12;186.7;0.13;Sold_02;250;250.7;3.36;2133;11.6;49.8;12.16;47.7;2.25;1.05;418;0;6.2;-57.0;70.2;49.86;Pass;No;;0.0;v2.1
SN-2024-0168;Afternoon;AMD;PCB-A-2023-B;Sharp;LCD-S-345;WireTech;CBL-2024-860;LG Chem;MoldMaster;Arctic-5;22.6;40.3;1021;10.9;35.4;0.92;12;194.9;0.1;Sold_01;250;251.8;3.1;1863;13.6;52.5;12.03;58.3;2.21;1.07;396;0;5.15;-58.1;70.5;50.37;Pass;No;;0.0;v2.2
SN-2023-0317;Morning;Intel;PCB-I-2022-B;Sharp;LCD-S-248;FlexConnect;CBL-2022-819;LG Chem;Plast-Pro;Arctic-5;24.4;35.7;1017;12.4;32.1;0.93;12;162.6;0.102;Sold_02;250;249.0;4.49;2894;14.5;49.0;13.91;40.2;2.23;1.01;406;0;5.85;-44.9;71.1;49.82;Pass;No;;0.0;v2.2
SN-2024-0363;Afternoon;AMD;PCB-A-2024-A;Samsung;LCD-S-650;Cables-X;CBL-2024-444;Panasonic;MoldMaster;CoolM-2;24.3;55.5;1024;6.3;38.6;0.87;12;156.5;0.183;Sold_01;250;248.5;2.8;4915;12.0;46.8;14.88;42.9;2.36;1.09;437;0;5.37;-49.7;74.4;50.16;Pass;No;;0.0;v2.2
SN-2023-0638;Morning;Nvidia;PCB-N-2022-B;Sharp;LCD-S-158;FlexConnect;CBL-2022-576;LG Chem;Plast-Pro;CoolM-2;24.5;63.3;994;9.0;21.5;1.14;12;162.4;0.104;Sold_02;250;251.0;3.15;3714;12.8;50.5;13.55;52.1;2.37;1.04;410;0;6.6;-40.7;72.4;49.97;Pass;No;;0.0;v2.1
SN-2025-0141;Morning;AMD;PCB-A-2024-A;Sharp;LCD-S-361;WireTech;CBL-2025-440;Panasonic;MoldMaster;CoolM-2;21.4;49.0;1001;23.2;17.3;0.88;12;162.1;0.179;Sold_01;250;252.2;4.27;4795;12.4;48.1;12.93;50.9;2.31;1.06;361;0;6.38;-57.0;71.5;49.74;Pass;No;;0.0;v2.1
SN-2024-0326;Morning;AMD;PCB-A-2023-B;Sharp;LCD-S-441;WireTech;CBL-2023-262;LG Chem;Plast-Pro;Arctic-5;22.7;58.8;999;22.9;19.8;1.16;12;180.3;0.066;Sold_02;250;250.5;2.56;1072;10.8;53.0;14.66;50.8;2.11;1.1;385;0;8.45;-58.9;73.6;50.14;Pass;No;;0.0;v2.1
SN-2025-0426;Morning;Intel;PCB-I-2024-X;Sharp;LCD-S-852;FlexConnect;CBL-2024-361;Panasonic;Plast-Pro;Arctic-5;24.1;54.8;994;17.5;25.5;0.97;12;153.7;0.132;Sold_01;250;248.7;3.49;711;12.6;53.3;12.67;40.0;2.12;1.01;432;0;6.05;-59.6;72.7;50.33;Pass;No;;0.0;v2.2
SN-2023-0079;Afternoon;Intel;PCB-I-2023-X;Sharp;LCD-S-456;WireTech;CBL-2023-286;LG Chem;MoldMaster;CoolM-2;22.8;39.5;1021;13.7;33.0;0.95;12;188.0;0.065;Sold_02;250;251.4;3.07;4508;12.2;45.2;14.75;55.1;2.29;1.09;430;0;7.42;-55.7;74.2;49.63;Pass;No;;0.0;v2.1
SN-2024-0149;Afternoon;Nvidia;PCB-N-2024-B;Samsung;LCD-S-742;FlexConnect;CBL-2023-319;Panasonic;MoldMaster;CoolM-2;25.3;47.6;1013;6.7;13.6;0.86;12;188.4;0.193;Sold_02;250;249.3;4.59;4498;13.4;50.7;12.34;57.7;2.15;1.06;384;0;7.49;-47.0;73.5;50.01;Pass;No;;0.0;v2.1
SN-2023-0033;Morning;AMD;PCB-A-2023-C;LG;LCD-L-820;FlexConnect;CBL-2022-655;LG Chem;Plast-Pro;CoolM-2;21.3;53.9;1012;15.2;32.7;1.15;12;190.6;0.092;Sold_01;250;248.7;2.98;3047;11.8;54.5;13.32;46.3;2.38;1.07;412;0;7.83;-54.1;70.5;50.46;Pass;No;;0.0;v2.1
SN-2023-0463;Morning;AMD;PCB-A-2023-Y;Sharp;LCD-S-195;FlexConnect;CBL-2022-426;Panasonic;MoldMaster;Arctic-5;22.0;63.2;1020;6.0;37.7;1.01;12;197.3;0.131;Sold_01;250;251.5;2.51;2608;14.3;53.2;14.96;48.5;2.26;1.03;435;0;8.65;-43.6;70.5;49.88;Pass;No;;0.0;v2.1
SN-2024-0057;Morning;AMD;PCB-A-2023-A;Samsung;LCD-S-529;Cables-X;CBL-2024-559;LG Chem;MoldMaster;CoolM-2;23.9;55.8;1019;24.4;31.4;0.83;12;158.6;0.152;Sold_01;250;251.3;3.79;675;12.2;47.3;12.21;48.8;2.24;1.08;434;0;6.07;-40.1;74.3;49.68;Pass;No;;0.0;v2.1
SN-2025-0568;Afternoon;Nvidia;PCB-N-2024-B;LG;LCD-L-845;FlexConnect;CBL-2025-439;LG Chem;MoldMaster;CoolM-2;24.9;44.5;992;10.2;11.3;0.81;12;194.8;0.197;Sold_02;250;254.7;3.79;817;12.2;48.6;13.2;45.5;2.32;1.04;360;0;8.9;-59.9;73.5;50.19;Pass;No;;0.0;v2.2
SN-2023-0423;Afternoon;Intel;PCB-I-2022-B;LG;LCD-L-661;FlexConnect;CBL-2023-043;LG Chem;MoldMaster;Arctic-5;22.8;40.8;1021;10.5;17.4;1.13;12;182.8;0.195;Sold_01;250;254.5;3.61;265;11.6;49.1;12.15;45.4;2.1;1.04;362;2;7.11;-58.2;74.7;50.36;Pass;No;;0.0;v2.1
SN-2023-0164;Afternoon;Nvidia;PCB-N-2023-Y;LG;LCD-L-503;WireTech;CBL-2022-470;Panasonic;Plast-Pro;Arctic-5;21.0;49.0;991;21.4;30.9;1.14;12;166.0;0.1;Sold_01;250;250.4;2.55;4749;14.6;48.7;12.24;41.3;2.15;1.07;412;2;7.47;-52.0;70.1;49.76;Pass;No;;0.0;v2.1
SN-2023-0204;Afternoon;Intel;PCB-I-2023-X;Sharp;LCD-S-835;WireTech;CBL-2023-119;LG Chem;Plast-Pro;Arctic-5;25.0;47.0;1002;7.0;10.7;1.12;12;175.0;0.101;Sold_02;250;250.6;3.61;137;10.6;47.5;14.5;55.4;2.19;1.06;450;0;7.11;-43.4;73.9;49.67;Pass;No;;0.0;v2.1
SN-2024-0244;Morning;Intel;PCB-I-2024-X;Samsung;LCD-S-236;Cables-X;CBL-2023-333;LG Chem;MoldMaster;CoolM-2;21.7;51.0;1007;23.6;13.2;0.98;12;167.7;0.13;Sold_01;250;254.6;6.2;85;13.1;45.6;14.63;42.3;2.27;1.09;411;2;6.1;-40.8;74.4;50.15;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0290;Morning;Intel;PCB-I-2023-A;Samsung;LCD-S-180;FlexConnect;CBL-2022-252;Panasonic;MoldMaster;CoolM-2;23.9;36.1;1009;11.7;36.4;1.14;12;185.5;0.102;Sold_02;250;249.5;2.66;4091;13.1;45.8;13.94;55.5;2.23;1.03;442;0;6.01;-59.8;73.9;49.86;Pass;No;;0.0;v2.1
SN-2025-0144;Afternoon;AMD;PCB-A-2025-X;LG;LCD-L-908;Cables-X;CBL-2025-309;LG Chem;Plast-Pro;Arctic-5;25.8;38.0;998;7.8;12.3;0.93;12;152.8;0.056;Sold_02;250;253.0;5.73;1250;12.0;48.2;13.18;51.2;2.22;1.0;351;0;6.67;-55.0;73.8;49.69;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0178;Morning;Intel;PCB-I-2024-X;LG;LCD-L-322;Cables-X;CBL-2023-170;LG Chem;Plast-Pro;CoolM-2;21.6;48.8;1029;6.1;30.4;0.83;12;183.8;0.057;Sold_02;250;253.5;3.0;349;14.0;46.8;14.75;55.2;2.21;1.04;403;0;8.26;-55.2;74.9;50.11;Pass;No;;0.0;v2.2
SN-2023-0549;Afternoon;AMD;PCB-A-2022-A;LG;LCD-L-457;Cables-X;CBL-2023-297;LG Chem;Plast-Pro;CoolM-2;25.1;38.0;1020;20.2;33.1;0.89;12;174.9;0.094;Sold_02;250;250.1;3.44;3712;10.9;47.8;12.34;40.4;2.15;1.06;437;0;5.47;-50.9;71.3;50.42;Pass;No;;0.0;v2.1
SN-2025-0628;Morning;Intel;PCB-I-2024-C;Sharp;LCD-S-636;WireTech;CBL-2025-928;LG Chem;MoldMaster;CoolM-2;22.6;43.9;1004;7.5;11.0;0.88;12;163.5;0.076;Sold_02;250;250.0;2.67;331;13.3;53.3;14.25;53.9;2.14;1.06;436;0;8.85;-42.3;71.4;50.11;Pass;No;;0.0;v2.1
SN-2025-0492;Morning;Nvidia;PCB-N-2025-C;Sharp;LCD-S-817;WireTech;CBL-2024-647;Panasonic;MoldMaster;Arctic-5;25.0;55.0;1002;7.5;29.0;1.0;12;173.1;0.101;Sold_01;250;248.8;3.45;2892;12.1;53.0;13.74;50.6;2.32;1.03;392;0;7.32;-49.1;70.4;49.93;Pass;No;;0.0;v2.1
SN-2023-0655;Morning;Nvidia;PCB-N-2023-X;LG;LCD-L-265;WireTech;CBL-2022-146;LG Chem;MoldMaster;Arctic-5;24.0;56.7;1016;20.4;15.6;1.13;12;183.2;0.145;Sold_02;250;251.3;4.56;313;10.4;48.8;12.35;56.1;2.15;1.01;360;0;7.27;-49.7;73.2;49.96;Pass;No;;0.0;v2.1
SN-2025-0088;Morning;Nvidia;PCB-N-2024-X;LG;LCD-L-798;WireTech;CBL-2024-223;LG Chem;MoldMaster;CoolM-2;22.6;44.6;1017;19.0;38.9;0.94;12;170.6;0.101;Sold_02;250;249.6;3.44;999;11.0;49.1;12.25;57.1;2.2;1.01;361;0;9.24;-42.5;71.7;50.18;Pass;No;;0.0;v2.1
SN-2025-0026;Morning;Nvidia;PCB-N-2025-A;Sharp;LCD-S-829;Cables-X;CBL-2024-682;LG Chem;Plast-Pro;Arctic-5;23.0;42.3;996;6.9;13.3;0.88;12;159.2;0.13;Sold_01;250;248.5;5.03;4294;10.5;53.5;13.14;47.4;2.35;1.04;364;0;7.7;-52.3;73.9;50.32;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0219;Afternoon;AMD;PCB-A-2023-B;Sharp;LCD-S-866;FlexConnect;CBL-2023-736;Panasonic;Plast-Pro;Arctic-5;23.5;64.4;991;8.6;37.0;0.9;12;191.8;0.174;Sold_02;250;249.5;3.63;532;14.5;49.8;13.29;40.9;2.25;1.1;402;0;6.08;-41.9;73.6;50.34;Pass;No;;0.0;v2.1
SN-2025-0593;Afternoon;AMD;PCB-A-2025-Y;LG;LCD-L-544;Cables-X;CBL-2024-992;Panasonic;Plast-Pro;Arctic-5;22.9;54.7;993;18.1;13.4;0.97;12;156.0;0.092;Sold_01;250;251.2;3.91;359;14.1;54.8;12.39;53.4;2.35;1.01;353;0;9.08;-56.7;70.4;50.05;Rework;No;;0.0;v2.1
SN-2024-0187;Morning;Nvidia;PCB-N-2023-B;LG;LCD-L-239;FlexConnect;CBL-2023-506;Panasonic;MoldMaster;Arctic-5;21.1;39.9;1025;10.1;24.0;0.88;12;158.4;0.172;Sold_01;250;254.5;4.1;4096;10.1;53.0;12.72;58.3;2.12;1.07;445;0;9.64;-56.1;74.3;50.08;Pass;No;;0.0;v2.1
SN-2025-0338;Afternoon;AMD;PCB-A-2025-X;Samsung;LCD-S-493;WireTech;CBL-2025-456;LG Chem;MoldMaster;CoolM-2;25.4;42.6;1005;23.5;22.2;0.94;12;186.4;0.182;Sold_01;250;252.7;2.88;4376;11.7;47.8;13.15;43.1;2.11;1.1;401;0;5.68;-43.4;72.1;49.8;Pass;No;;0.0;v2.2
SN-2025-0110;Afternoon;Intel;PCB-I-2025-B;Samsung;LCD-S-917;WireTech;CBL-2024-216;LG Chem;MoldMaster;Arctic-5;22.7;58.8;996;11.1;33.6;0.9;12;150.3;0.179;Sold_02;250;254.3;4.15;1531;11.4;51.6;12.54;43.8;2.39;1.03;357;0;8.9;-40.1;71.6;50.11;Pass;No;;0.0;v2.2
SN-2025-0547;Afternoon;Intel;PCB-I-2024-A;Sharp;LCD-S-917;Cables-X;CBL-2024-286;LG Chem;Plast-Pro;Arctic-5;24.5;42.8;1012;23.3;23.5;0.81;12;162.7;0.194;Sold_02;250;249.0;2.6;3883;10.8;45.4;13.5;58.2;2.12;1.07;379;0;7.31;-52.1;74.3;50.45;Rework;No;;0.0;v2.1
SN-2023-0060;Afternoon;Intel;PCB-I-2022-C;LG;LCD-L-185;WireTech;CBL-2023-464;Panasonic;MoldMaster;CoolM-2;23.8;52.8;993;14.4;16.9;0.82;12;178.6;0.068;Sold_01;250;252.5;3.56;3504;12.0;47.6;12.82;54.0;2.13;1.05;372;0;7.19;-42.2;70.6;50.27;Pass;No;;0.0;v2.1
SN-2025-0297;Morning;Intel;PCB-I-2024-C;Sharp;LCD-S-889;WireTech;CBL-2025-874;LG Chem;MoldMaster;CoolM-2;22.7;42.3;1019;23.0;22.9;0.91;12;190.7;0.17;Sold_01;250;250.0;4.69;4093;11.9;50.4;13.4;42.3;2.4;1.02;361;0;9.64;-41.2;70.2;50.02;Pass;No;;0.0;v2.1
SN-2023-0615;Afternoon;Intel;PCB-I-2022-B;Samsung;LCD-S-927;Cables-X;CBL-2023-548;Panasonic;Plast-Pro;Arctic-5;22.8;36.1;1027;17.0;13.7;0.86;12;165.7;0.08;Sold_02;250;252.3;5.44;4703;14.4;51.7;13.31;43.4;2.27;1.06;414;0;9.18;-53.5;73.1;50.02;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0074;Afternoon;Intel;PCB-I-2022-A;LG;LCD-L-413;FlexConnect;CBL-2023-098;Panasonic;MoldMaster;Arctic-5;24.3;61.5;1014;10.1;32.3;0.93;12;184.6;0.108;Sold_01;250;253.6;4.73;4862;14.2;51.1;12.8;59.4;2.19;1.09;358;0;9.49;-43.0;70.6;49.99;Pass;No;;0.0;v2.2
SN-2023-0163;Afternoon;Intel;PCB-I-2022-Y;Sharp;LCD-S-998;FlexConnect;CBL-2023-209;Panasonic;MoldMaster;Arctic-5;21.5;37.6;1018;12.3;38.7;0.93;12;166.3;0.057;Sold_01;250;252.1;2.97;292;10.0;52.7;12.75;59.6;2.18;1.02;352;0;6.34;-57.5;73.8;49.53;Pass;No;;0.0;v2.1
SN-2023-0367;Morning;AMD;PCB-A-2022-Y;Sharp;LCD-S-801;FlexConnect;CBL-2023-001;Panasonic;MoldMaster;Arctic-5;22.6;52.6;1014;17.0;11.9;1.18;12;181.4;0.148;Sold_01;250;251.6;4.64;4744;14.9;47.4;12.11;44.0;2.2;1.08;429;0;9.71;-40.4;70.3;50.3;Pass;No;;0.0;v2.2
SN-2023-0531;Afternoon;Nvidia;PCB-N-2023-Y;LG;LCD-L-520;Cables-X;CBL-2022-117;LG Chem;MoldMaster;CoolM-2;24.1;45.5;1027;8.6;22.9;0.96;12;152.3;0.1;Sold_02;250;252.7;3.26;2841;14.7;54.3;12.57;45.9;2.12;1.08;376;0;8.73;-41.2;72.8;49.85;Pass;No;;0.0;v2.2
SN-2025-0490;Afternoon;Intel;PCB-I-2024-C;Samsung;LCD-S-533;FlexConnect;CBL-2024-104;Panasonic;MoldMaster;Arctic-5;25.5;52.8;1007;8.6;24.3;1.03;12;153.9;0.122;Sold_02;250;250.0;3.96;4017;11.3;47.5;12.33;54.1;2.26;1.02;431;1;9.7;-53.0;74.3;50.14;Pass;No;;0.0;v2.1
SN-2024-0371;Morning;Intel;PCB-I-2023-Y;Samsung;LCD-S-468;WireTech;CBL-2023-799;LG Chem;Plast-Pro;CoolM-2;22.8;44.4;998;16.2;33.1;1.15;12;185.5;0.132;Sold_01;250;251.5;3.93;3103;14.9;52.2;13.92;48.2;2.29;1.06;365;0;9.22;-47.9;72.5;50.43;Pass;No;;0.0;v2.2
SN-2024-0235;Afternoon;AMD;PCB-A-2024-X;Samsung;LCD-S-199;Cables-X;CBL-2024-107;LG Chem;Plast-Pro;Arctic-5;24.2;59.6;1027;6.6;17.6;1.04;12;163.7;0.172;Sold_01;250;250.5;2.57;2916;11.2;47.5;14.2;54.2;2.38;1.01;410;0;7.22;-45.7;70.4;49.94;Pass;No;;0.0;v2.2
SN-2025-0597;Morning;AMD;PCB-A-2025-Y;Sharp;LCD-S-395;Cables-X;CBL-2024-676;LG Chem;MoldMaster;CoolM-2;22.6;44.7;1024;19.8;19.8;0.86;12;167.3;0.169;Sold_02;250;251.4;6.46;4634;10.4;48.1;14.9;44.2;2.34;1.01;440;0;8.57;-52.0;71.3;50.15;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2023-0046;Afternoon;Nvidia;PCB-N-2022-C;Sharp;LCD-S-299;FlexConnect;CBL-2023-193;Panasonic;Plast-Pro;Arctic-5;22.7;45.7;998;5.6;28.5;0.81;12;153.1;0.198;Sold_01;250;251.6;4.36;1164;11.0;51.6;14.73;41.6;2.28;1.05;429;2;8.99;-49.5;73.6;50.18;Pass;No;;0.0;v2.2
SN-2024-0289;Morning;AMD;PCB-A-2024-C;Sharp;LCD-S-491;FlexConnect;CBL-2023-935;Panasonic;MoldMaster;Arctic-5;24.1;44.9;1010;19.0;11.1;1.05;12;173.1;0.077;Sold_02;250;252.0;4.57;1639;11.7;52.6;13.64;53.5;2.17;1.09;407;0;6.29;-58.0;73.0;50.08;Pass;No;;0.0;v2.2
SN-2023-0355;Afternoon;Nvidia;PCB-N-2022-C;Sharp;LCD-S-591;Cables-X;CBL-2023-100;LG Chem;Plast-Pro;CoolM-2;22.3;48.2;1025;16.0;38.1;1.17;12;157.4;0.068;Sold_01;250;251.1;3.54;81;10.5;51.3;13.8;49.5;2.2;1.05;356;0;7.32;-47.4;71.5;49.57;Pass;No;;0.0;v2.2
SN-2025-0161;Afternoon;AMD;PCB-A-2025-X;Sharp;LCD-S-317;WireTech;CBL-2024-358;Panasonic;MoldMaster;CoolM-2;21.3;35.6;1019;21.3;33.3;1.02;12;171.2;0.113;Sold_01;250;251.5;4.0;1821;10.5;54.7;13.89;55.8;2.37;1.09;425;0;9.7;-56.1;70.1;49.83;Pass;No;;0.0;v2.1
SN-2025-0450;Afternoon;Nvidia;PCB-N-2025-B;Samsung;LCD-S-189;WireTech;CBL-2025-653;Panasonic;MoldMaster;Arctic-5;24.3;43.3;1022;8.1;23.3;1.01;12;198.1;0.093;Sold_02;250;253.5;3.92;447;13.7;54.1;12.99;52.9;2.18;1.06;440;1;9.37;-59.9;74.3;49.78;Pass;No;;0.0;v2.2
SN-2023-0077;Afternoon;Nvidia;PCB-N-2023-B;LG;LCD-L-845;FlexConnect;CBL-2023-439;LG Chem;MoldMaster;CoolM-2;24.9;44.5;992;10.2;11.3;0.81;12;194.8;0.197;Sold_02;250;254.7;3.79;817;12.2;48.6;13.2;45.5;2.32;1.04;360;0;8.9;-59.9;73.5;50.19;Pass;No;;0.0;v2.2
SN-2025-0579;Morning;AMD;PCB-A-2024-Y;Samsung;LCD-S-289;Cables-X;CBL-2025-194;LG Chem;Plast-Pro;CoolM-2;23.8;36.4;991;18.0;14.4;0.97;12;161.1;0.111;Sold_01;250;253.7;4.51;4988;12.1;49.6;14.09;50.8;2.32;1.09;356;1;6.92;-50.9;72.4;50.36;Pass;No;;0.0;v2.1
SN-2025-0068;Morning;AMD;PCB-A-2025-X;Sharp;LCD-S-993;WireTech;CBL-2024-828;Panasonic;Plast-Pro;Arctic-5;22.3;38.3;1012;24.3;10.8;1.07;12;197.0;0.13;Sold_02;250;253.0;4.52;3439;12.3;52.6;14.21;41.4;2.22;1.0;375;0;7.54;-43.6;70.1;50.29;Pass;No;;0.0;v2.1
SN-2023-0671;Morning;Intel;PCB-I-2023-B;LG;LCD-L-302;WireTech;CBL-2023-622;LG Chem;MoldMaster;Arctic-5;25.8;39.1;1018;11.2;31.0;0.98;12;174.7;0.075;Sold_02;250;253.4;4.46;1878;14.7;47.5;13.57;41.1;2.34;1.04;418;1;8.55;-50.6;71.2;49.56;Pass;No;;0.0;v2.1
SN-2024-0643;Morning;AMD;PCB-A-2024-Y;Samsung;LCD-S-881;FlexConnect;CBL-2023-491;LG Chem;Plast-Pro;Arctic-5;23.3;51.6;1006;6.5;26.5;1.13;12;178.5;0.079;Sold_01;250;252.5;4.57;4957;12.6;53.7;12.57;55.5;2.32;1.09;447;0;6.96;-56.1;71.7;49.76;Pass;No;;0.0;v2.2
SN-2023-0591;Morning;AMD;PCB-A-2023-Y;Sharp;LCD-S-255;FlexConnect;CBL-2022-637;Panasonic;Plast-Pro;CoolM-2;21.2;37.3;1000;6.6;28.3;0.95;12;199.7;0.164;Sold_01;250;252.8;2.67;2649;10.5;45.3;12.19;41.3;2.16;1.01;427;1;8.59;-51.9;73.0;50.29;Pass;No;;0.0;v2.2
SN-2023-0394;Afternoon;AMD;PCB-A-2022-C;Samsung;LCD-S-218;Cables-X;CBL-2022-334;LG Chem;MoldMaster;Arctic-5;23.9;38.8;1030;18.8;14.4;0.91;12;191.7;0.183;Sold_02;250;254.4;5.68;3889;14.4;45.6;13.89;45.0;2.4;1.09;385;1;7.09;-41.2;74.2;50.13;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0147;Afternoon;Intel;PCB-I-2023-C;LG;LCD-L-387;FlexConnect;CBL-2023-104;Panasonic;Plast-Pro;Arctic-5;23.9;58.7;990;9.8;38.3;1.12;12;182.8;0.079;Sold_02;250;250.6;2.62;2668;10.1;46.7;12.61;43.6;2.1;1.03;410;1;8.56;-41.1;70.9;49.84;Pass;No;;0.0;v2.2
SN-2023-0031;Morning;Intel;PCB-I-2023-B;Samsung;LCD-S-976;WireTech;CBL-2022-482;Panasonic;MoldMaster;CoolM-2;21.1;35.0;997;16.1;19.2;1.16;12;152.5;0.076;Sold_02;250;254.9;2.75;2668;11.0;48.0;12.42;48.5;2.32;1.03;399;0;9.55;-48.1;71.9;49.84;Pass;No;;0.0;v2.1
SN-2024-0418;Afternoon;Intel;PCB-I-2023-X;Sharp;LCD-S-324;Cables-X;CBL-2023-319;LG Chem;MoldMaster;Arctic-5;23.6;55.1;1012;22.4;30.9;0.89;12;156.5;0.126;Sold_02;250;249.7;5.27;745;11.2;50.7;13.39;54.5;2.18;1.1;388;0;8.78;-57.2;70.5;50.42;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2025-0348;Afternoon;Nvidia;PCB-N-2024-B;LG;LCD-L-438;FlexConnect;CBL-2025-719;LG Chem;MoldMaster;Arctic-5;25.5;36.1;1027;20.8;19.6;0.96;12;184.3;0.182;Sold_01;250;248.3;3.78;2136;12.3;48.1;13.22;46.8;2.11;1.01;357;0;8.11;-51.0;73.2;49.94;Pass;No;;0.0;v2.1
SN-2024-0380;Morning;Intel;PCB-I-2023-X;Sharp;LCD-S-816;WireTech;CBL-2024-657;Panasonic;MoldMaster;CoolM-2;21.5;57.0;997;23.4;36.6;0.95;12;151.8;0.133;Sold_02;250;253.1;2.63;2510;10.4;54.5;13.84;44.2;2.17;1.01;395;0;5.89;-42.7;70.8;49.8;Pass;No;;0.0;v2.1
SN-2025-0152;Afternoon;AMD;PCB-A-2025-Y;Samsung;LCD-S-451;Cables-X;CBL-2025-355;Panasonic;MoldMaster;CoolM-2;21.8;37.4;1017;17.7;14.0;0.92;12;190.1;0.179;Sold_01;250;251.0;4.38;2064;10.6;50.7;12.21;58.1;2.35;1.09;366;0;7.74;-56.3;74.8;49.58;Pass;No;;0.0;v2.2
SN-2024-0131;Afternoon;Nvidia;PCB-N-2024-A;Samsung;LCD-S-979;FlexConnect;CBL-2023-728;Panasonic;MoldMaster;CoolM-2;23.0;52.1;1008;19.9;30.9;1.13;12;166.0;0.117;Sold_01;250;253.2;4.4;2172;14.4;48.8;14.92;59.7;2.31;1.04;372;0;8.85;-43.3;72.1;49.51;Pass;No;;0.0;v2.1
SN-2023-0681;Morning;AMD;PCB-A-2022-X;Samsung;LCD-S-320;FlexConnect;CBL-2023-837;LG Chem;Plast-Pro;Arctic-5;25.8;53.0;994;12.0;11.7;0.98;12;184.9;0.114;Sold_01;250;250.3;4.53;3718;13.6;47.0;13.95;51.3;2.39;1.02;415;0;8.11;-50.6;73.5;50.04;Pass;No;;0.0;v2.1
SN-2024-0199;Morning;AMD;PCB-A-2023-A;Samsung;LCD-S-635;WireTech;CBL-2023-292;Panasonic;Plast-Pro;Arctic-5;21.3;63.1;1019;18.6;27.0;0.87;12;157.5;0.133;Sold_02;250;251.0;3.94;3904;10.5;48.0;13.49;49.5;2.15;1.05;441;0;5.67;-58.9;72.9;49.93;Pass;No;;0.0;v2.2
SN-2025-0207;Morning;Nvidia;PCB-N-2025-C;Samsung;LCD-S-782;Cables-X;CBL-2025-786;Panasonic;Plast-Pro;Arctic-5;25.4;44.4;997;6.6;17.3;0.95;12;186.4;0.192;Sold_02;250;253.9;3.13;4305;11.9;45.7;12.99;56.6;2.36;1.04;447;0;6.0;-48.0;72.2;49.57;Rework;No;;0.0;v2.1
